x,y
455972 , 9055676
471409 , 9049045
475273 , 9037421
500064 , 9031891
520994 , 9029117
532553 , 9019697
539150 , 9008064
548527 , 9024111
557882 , 9018562
555662 , 9005830
567216 , 9001936
578223 , 9000809
577093 , 8985860
583114 , 8970897
586939 , 8959814
599575 , 8955353
609458 , 8950342
604486 , 8941495
607170 , 8919337
609327 , 8905485
615351 , 8900483
619753 , 8903237
628538 , 8890625
635873 , 8868094
635831 , 8857203
626925 , 8850190
627500 , 8834172
629979 , 8819428
614741 , 8810515
605890 , 8815669
588151 , 8815720
585558 , 8792666
600689 , 8772124
611411 , 8762480
613232 , 8740692
625224 , 8736162
638440 , 8723293
659286 , 8722552
675757 , 8730154
672551 , 8721841
650845 , 8676461
629238 , 8640042
608962 , 8609372
581815 , 8579352
549095 , 8560850
530872 , 8554470
513910 , 8544234
505119 , 8530784
511386 , 8512204
512629 , 8490422
505111 , 8489143
500726 , 8478253
506358 , 8464798
503226 , 8440454
497602 , 8404576
493864 , 8369338
498229 , 8357165
501965 , 8310393
506309 , 8276433
516227 , 8250157
506292 , 8216842
498860 , 8203386
499480 , 8188007
490828 , 8167500
485279 , 8149554
489610 , 8130972
480993 , 8109178
477325 , 8082259
479196 , 8058549
485969 , 8043814
470640 , 8024571
452256 , 8012999
440651 , 7996944
430308 , 7975758
407598 , 7987841
367593 , 8014534
375504 , 8024842
370518 , 8036349
360000 , 8047175
350120 , 8053514
342652 , 8064997
328428 , 8073857
333857 , 8087365
333702 , 8106596
336056 , 8120719
341520 , 8132300
355710 , 8133043
361898 , 8130521
366161 , 8139522
357501 , 8142029
363543 , 8162580
376491 , 8167787
382595 , 8181921
393681 , 8191592
400449 , 8199955
405346 , 8212794
400944 , 8227515
386644 , 8236419
376705 , 8239570
367952 , 8251698
348724 , 8250295
344341 , 8256034
333188 , 8253390
317564 , 8266731
298328 , 8264645
274164 , 8258647
249932 , 8259674
247164 , 8285296
199980 , 8327067
184514 , 8318525
167693 , 8318293
160069 , 8328451
149520 , 8325088
128145 , 8336315
111147 , 8345672
83998 , 8363196
60732 , 8371134
43205 , 8372096
20198 , 8365226
12799 , 8359937
-9283 , 8369124
-25033 , 8373933
-24806 , 8392585
-15761 , 8409492
-34671 , 8414238
-60433 , 8416247
-78636 , 8416477
-101601 , 8405636
-119503 , 8393606
-133578 , 8379722
-150248 , 8369621
-155628 , 8359811
-166351 , 8362096
-185343 , 8346093
-205147 , 8337134
-219734 , 8321860
-233999 , 8316903
-240181 , 8314128
-246444 , 8313930
-256885 , 8307140
-260537 , 8303793
-265674 , 8307500
-254250 , 8322719
-250878 , 8335091
-258770 , 8346461
-255491 , 8362058
-255343 , 8377555
-256349 , 8389789
-247176 , 8398459
-256329 , 8409801
-269147 , 8417158
-282195 , 8431609
-281252 , 8441971
-284935 , 8459296
-286684 , 8475389
-277508 , 8485350
-283858 , 8486453
-286231 , 8502527
-272580 , 8511321
-268399 , 8519834
-271650 , 8522969
-292336 , 8516556
-293923 , 8527489
-294356 , 8542332
-274479 , 8555815
-273340 , 8560366
-294096 , 8555258
-293254 , 8570137
-292334 , 8582434
-294507 , 8592060
-284741 , 8605893
-298833 , 8610670
-300441 , 8622898
-303935 , 8634428
-305698 , 8652467
-317346 , 8659902
-283994 , 8673064
-299915 , 8673937
-305258 , 8683484
-301697 , 8693266
-307074 , 8704106
-284089 , 8701470
-279164 , 8708050
-289424 , 8711019
-303573 , 8716469
-316356 , 8718075
-324354 , 8731434
-325293 , 8743041
-307587 , 8774497
-296265 , 8781232
-289028 , 8798839
-283632 , 8813814
-247731 , 8835914
-244859 , 8850813
-236668 , 8856146
-236937 , 8869039
-221729 , 8875154
-221506 , 8864198
-212360 , 8854069
-204586 , 8848426
-203114 , 8838787
-206688 , 8826467
-205864 , 8817460
-192853 , 8804839
-174174 , 8794912
-149188 , 8787038
-132906 , 8800874
-119771 , 8813350
-107773 , 8818717
-85032 , 8828767
-61957 , 8818864
-50821 , 8838337
-39410 , 8841089
-28839 , 8857322
-23473 , 8881826
-12794 , 8892263
-16125 , 8902498
-10490 , 8909645
-27943 , 8926753
-27017 , 8951832
-6091 , 8961753
8443 , 8972862
22614 , 8962118
33534 , 8955830
44320 , 8960454
62201 , 8958093
67461 , 8944029
80253 , 8939679
82207 , 8935850
91664 , 8944939
105658 , 8947012
117117 , 8947771
132886 , 8963965
156383 , 8972519
179948 , 8973361
188826 , 8978563
198273 , 8992743
207114 , 9003708
217913 , 9008914
238141 , 9035331
253442 , 9036065
268101 , 9037431
268774 , 9031026
279016 , 9023392
286661 , 9024074
300815 , 8997233
315499 , 8989615
314925 , 8976157
308582 , 8971641
306743 , 8957535
325861 , 8950579
337275 , 8958958
351253 , 8963499
358172 , 8985306
362577 , 9000055
373427 , 8992404
394418 , 8998871
403933 , 9013627
403271 , 9024514
425564 , 9027122
424899 , 9042492
441463 , 9047002
455972 , 9055676
