x,y
645316 , 7095809
659237 , 7105626
673815 , 7118083
685310 , 7123248
699711 , 7121040
719320 , 7124394
734759 , 7125777
740197 , 7124028
739934 , 7109728
746275 , 7103557
747036 , 7091438
739766 , 7073968
734078 , 7060868
731738 , 7041104
740492 , 7033787
734918 , 7026189
735709 , 7015720
739578 , 7011794
737419 , 7001931
750625 , 6997270
744086 , 6990246
735556 , 6981607
743367 , 6978704
747100 , 6968724
759238 , 6961870
754523 , 6947659
749440 , 6938958
747257 , 6927995
739252 , 6919351
738132 , 6912218
733997 , 6900743
730728 , 6883196
725601 , 6870086
722949 , 6858580
720197 , 6841572
710332 , 6833499
676512 , 6812601
659819 , 6796888
642646 , 6777860
629913 , 6762608
624060 , 6756623
612030 , 6758948
602949 , 6767834
590378 , 6764641
583625 , 6764692
594300 , 6772309
599667 , 6778864
602683 , 6792038
601808 , 6802496
602908 , 6817337
611678 , 6822206
615654 , 6832068
627330 , 6834697
623545 , 6844088
618247 , 6848543
606114 , 6850308
596386 , 6849292
582311 , 6851599
565793 , 6852803
553174 , 6856716
538117 , 6861173
527448 , 6874400
519676 , 6884863
509937 , 6893673
503601 , 6907423
493344 , 6915119
484051 , 6923358
469847 , 6933778
461014 , 6942001
449716 , 6950757
436942 , 6957296
423691 , 6959420
412911 , 6958248
404490 , 6969183
388705 , 6977849
379827 , 6981615
362583 , 6985835
344404 , 6985070
334090 , 6984387
315766 , 6993479
305919 , 6993879
289128 , 6997457
279865 , 6992345
271041 , 6990534
271884 , 6998253
267423 , 6999821
256187 , 6995204
254338 , 6989114
242007 , 6990515
235611 , 6990381
221761 , 6993381
224879 , 7008312
230168 , 7014481
233855 , 7026668
226144 , 7040813
227295 , 7056249
228429 , 7072784
231574 , 7088259
234436 , 7093822
250900 , 7089197
256301 , 7092051
263699 , 7094389
273151 , 7092908
278728 , 7085853
290702 , 7081102
304010 , 7085712
317923 , 7083167
333294 , 7082275
347214 , 7078048
363064 , 7077677
377463 , 7073424
392361 , 7067509
405761 , 7061567
425539 , 7061148
441856 , 7060683
453246 , 7055232
460187 , 7047559
465607 , 7051973
475485 , 7053096
479426 , 7059700
474955 , 7071236
469002 , 7077820
477401 , 7087183
486308 , 7095441
492255 , 7097645
503161 , 7097097
509602 , 7093796
520017 , 7098182
526961 , 7099818
532441 , 7110250
536929 , 7117934
546380 , 7122852
557289 , 7118411
564701 , 7111229
578650 , 7119949
585581 , 7116606
599033 , 7122559
610435 , 7119718
617825 , 7113056
630159 , 7105241
645316 , 7095809
