areia_fina,x,y
566.0,333353,8946244
566.0,335782,8949468
500.0,354402,8905960
438.0,352442,8898104
532.0,331005,8916778
463.0,331003,8915766
410.0,338082,8917618
510.0,354177,8905250
351.0,350802,8903700
359.0,352963,8902790
557.0,332531,8954210
514.0,335119,8950698
626.0,333182,8945648
732.0,338239,8945978
485.0,333968,8949822
526.0,334190,8950920
340.0,353396,8935731
140.0,344687,8961239
330.0,43654,8383512
50.0,-85173,8421499
260.0,-63513,8421995
30.0,-88694,8417718
50.0,-72450,8418094
220.0,9751,8368055
320.0,85409,8362084
50.0,-4639,8367760
140.0,344472,8961393
430.0,358772,8541895
540.0,288333,8632395
500.0,186330,8625626
340.0,537576,8642945
300.0,311357,8867265
430.0,295450,8343600
320.0,263908,8731728
540.0,331663,8507570
380.0,322739,8645981
400.0,460568,8592564
470.0,353281,8107160
370.0,142235,8362829
380.0,241627,8468942
460.0,143422,8607373
310.0,125764,8448232
250.0,231767,8554478
520.0,565092,8588629
450.0,318967,8587852
340.0,590154,8726612
500.0,564925,8695033
330.0,103314,8367585
660.0,328770,8768807
560.0,363136,8618101
310.0,126013,8384708
420.0,218660,8504503
670.0,379148,8583132
490.0,470186,8161807
400.0,478463,8522472
480.0,478449,8205689
470.0,525702,8610920
430.0,432120,8558277
590.0,470565,8621677
240.0,219313,8644889
190.0,273789,8608261
500.0,111284,8808138
560.0,378019,8841659
400.0,86704,8404133
280.0,99661,8547804
60.0,227344,8701697
190.0,60199,8498008
230.0,222422,8611246
210.0,148314,8503260
260.0,206872,8466415
320.0,95637,8588277
480.0,234167,8334313
240.0,483697,8317418
90.0,474970,8393900
110.0,447976,8475791
280.0,376121,8465542
40.0,554525,8616217
90.0,539711,8601382
110.0,444376,8292494
430.0,452023,8377823
430.0,630451,8672395
600.0,421063,8220214
550.0,475406,8561927
330.0,451377,8362997
330.0,502092,8568913
510.0,471049,8342039
620.0,360800,8058581
250.0,353304,8814198
630.0,618778,8722379
580.0,324040,8706849
220.0,312502,8808138
580.0,485509,8365689
350.0,536936,8574966
280.0,-37244,8550072
600.0,586550,8594418
700.0,407554,8813799
21.0,488290,8269910
320.0,467143,8362337
510.0,461959,8333506
420.0,570076,8662348
800.0,418595,8119521
540.0,386493,8308295
344.0,454468,8422620
850.0,457164,8067947
670.0,506388,8627343
540.0,438801,8358357
830.0,426177,8044239
310.0,373046,8357108
770.0,551593,8667472
353.0,416238,8073332
620.0,496265,8652158
250.0,520538,8780310
620.0,428486,8980949
180.0,592315,8677440
520.0,531546,8692961
190.0,581245,8633366
380.0,326718,8673546
390.0,450338,8852227
180.0,509298,8842995
350.0,492162,8760108
140.0,348534,8281848
170.0,467791,8575623
90.0,620197,8826121
60.0,251817,8496867
130.0,556021,8598551
340.0,99497,8464321
270.0,34853,8528398
250.0,116345,8523995
120.0,479255,8975155
470.0,93776,8639170
440.0,135063,8576084
60.0,544725,8721517
260.0,500623,8710410
520.0,210185,8882480
210.0,589349,8705397
440.0,176644,8471200
430.0,652935,8717549
580.0,437918,8592110
280.0,489785,8579920
300.0,500132,8598874
400.0,374343,8677274
310.0,359023,8767912
370.0,401987,8349864
370.0,464547,8639567
360.0,443414,8343556
280.0,421267,8325030
350.0,158739,8545672
130.0,549469,8901207
340.0,577506,8945277
210.0,501896,8680455
40.0,494603,8808702
190.0,614754,8864720
370.0,8052,8452124
550.0,44556,8428735
270.0,421677,8772166
390.0,465114,9023696
430.0,515778,9016333
500.0,415176,8571746
330.0,483997,8631412
380.0,453438,8694805
360.0,476908,8593217
400.0,593982,8921193
180.0,456685,8401969
70.0,29944,8412658
390.0,150948,8597918
130.0,145797,8782108
60.0,550375,8657314
20.0,543253,8616111
210.0,346572,8939507
130.0,350677,8928464
150.0,344522,8941511
350.0,522374,8977999
170.0,207380,8804853
250.0,232257,8736644
220.0,203791,8868215
360.0,459448,8857370
140.0,145873,8775065
350.0,406532,9021625
90.0,186616,8750317
80.0,588155,8839192
60.0,597245,8830122
440.0,311452,8851863
270.0,222076,8744603
190.0,107224,8359589
350.0,101527,8402820
450.0,382320,8891149
20.0,512410,8602603
580.0,432628,8601987
390.0,78856,8785350
410.0,483723,9001120
360.0,58209,8477683
440.0,228755,8923749
600.0,493887,9018215
60.0,-18942,8372342
20.0,465910,8371148
450.0,491071,8273461
0.0,-10740,8410848
310.0,-17455,8396592
90.0,-7774,8412928
160.0,32408,8517570
340.0,489927,8652335
460.0,478872,8626188
320.0,445484,8721654
170.0,595895,8717529
360.0,406357,8642135
310.0,119823,8517945
80.0,491915,8742809
420.0,489756,8678084
270.0,55001,8384781
140.0,490852,8971979
380.0,233246,8624966
410.0,106471,8735891
150.0,102192,8488466
130.0,107481,8470416
240.0,248085,8542601
150.0,257459,8596848
90.0,200248,8341801
100.0,64259,8417316
500.0,187691,8555908
160.0,154835,8452968
290.0,96295,8546814
350.0,94406,8538729
670.0,469705,8727714
530.0,355062,8848046
610.0,369273,8602772
160.0,516060,8561853
550.0,271714,8731931
350.0,575406,8600971
690.0,566123,8983987
580.0,111268,8787754
280.0,71826,8780216
425.0,511332,8972994
430.0,154246,8931690
490.0,191465,8507755
340.0,437355,8315783
510.0,283238,8331464
600.0,230682,8556016
490.0,331830,8573415
250.0,507236,8588666
481.0,300898,8599027
30.0,534397,8608921
720.0,552583,8654969
890.0,395325,8522111
380.0,490938,8642115
420.0,432999,8616235
60.0,187913,8662597
250.0,191783,8478099
380.0,424410,8450318
530.0,-263663,8524435
70.0,-26267,8642933
80.0,-53564,8549911
390.0,343830,8697006
470.0,366865,8837204
600.0,390895,8741447
440.0,193303,8860077
360.0,492701,8857732
40.0,-38172,8598319
210.0,358455,8676799
345.0,57419,8418874
340.0,223961,8911979
43.0,258625,8674320
303.0,258478,8692761
261.0,166457,8483325
230.0,224030,8902757
570.0,241825,8974813
320.0,-175109,8611303
30.0,-37349,8651982
610.0,470927,8719507
100.0,-17562,8665281
30.0,-59858,8503516
318.0,192862,8911732
310.0,326271,8932882
710.0,445258,8857690
660.0,445308,8826361
200.0,489048,8868788
150.0,-23087,8668883
275.0,123708,8443965
486.0,436111,8127723
290.0,-111912,8646833
230.0,-5090,8576739
330.0,-96854,8537889
220.0,-22922,8559764
260.0,-98475,8704497
460.0,-193513,8554147
250.0,-117633,8574479
580.0,-186502,8493124
440.0,-16696,8837275
290.0,-44593,8649995
140.0,-37027,8539136
20.0,-12350,8576607
330.0,-83514,8508564
120.0,4978,8521449
170.0,22390,8779824
150.0,-78321,8519785
130.0,-70843,8508839
170.0,-135262,8631510
210.0,-107321,8519145
350.0,60689,8941793
70.0,-63791,8518239
200.0,-265740,8743509
80.0,-61235,8570116
250.0,-132261,8500037
210.0,-81498,8700308
270.0,18652,8567907
700.0,424276,8020783
280.0,5761,8578775
60.0,-153847,8647778
230.0,-60326,8525718
200.0,-107237,8515435
370.0,-24876,8613344
130.0,4640,8539926
170.0,23496,8603116
490.0,48899,8890690
350.0,-10421,8785594
750.0,446680,8159096
510.0,42283,8947118
390.0,-109546,8620948
50.0,5198,8721133
300.0,-144860,8496031
20.0,-84130,8531757
140.0,6968,8613928
260.0,46331,8651532
210.0,-162747,8638316
180.0,-155720,8705223
220.0,-111255,8800541
370.0,-188520,8572821
150.0,-28111,8750171
510.0,128538,8938831
290.0,-7211,8815230
290.0,521494,8612342
40.0,541065,8626663
176.0,229067,8735271
350.0,209808,8745648
280.0,249939,8744665
50.0,189834,8747988
611.0,493503,8194130
680.0,481670,8186195
606.0,483540,8184968
543.0,483450,8186197
683.0,484310,8187027
657.0,486683,8186691
604.0,483301,8187334
650.0,485791,8188134
681.0,487720,8187890
519.0,486678,8194588
620.0,488784,8195450
644.0,474290,8190239
645.0,474511,8190797
567.0,475437,8191044
695.0,476740,8192214
578.0,478194,8191785
662.0,475675,8190277
612.0,494274,8195205
656.0,474607,8189753
754.0,479272,8192346
642.0,479478,8193129
683.0,481871,8194523
598.0,495218,8189685
797.0,491468,8189767
682.0,493740,8193331
603.0,491614,8189662
708.0,490181,8190349
797.0,488786,8191547
721.0,492166,8198985
573.0,493797,8200029
800.0,497657,8189952
589.0,492199,8186786
347.0,493622,8192010
521.0,495847,8190105
703.0,495461,8190290
