areia_gros,x,y
327.0,333353,8946244
293.0,335782,8949468
146.0,354402,8905960
145.0,352442,8898104
175.0,331005,8916778
170.0,331003,8915766
237.0,338082,8917618
152.0,354177,8905250
136.0,350802,8903700
180.0,352963,8902790
196.0,332531,8954210
369.0,335119,8950698
253.0,333182,8945648
191.0,338239,8945978
193.0,333968,8949822
238.0,334190,8950920
100.0,353396,8935731
120.0,344687,8961239
360.0,43654,8383512
110.0,-85173,8421499
410.0,-63513,8421995
30.0,-88694,8417718
60.0,-72450,8418094
50.0,9751,8368055
240.0,85409,8362084
140.0,-4639,8367760
120.0,344472,8961393
70.0,358772,8541895
100.0,288333,8632395
190.0,186330,8625626
260.0,537576,8642945
110.0,311357,8867265
160.0,295450,8343600
260.0,263908,8731728
60.0,331663,8507570
120.0,322739,8645981
130.0,460568,8592564
180.0,353281,8107160
300.0,142235,8362829
170.0,241627,8468942
120.0,143422,8607373
180.0,125764,8448232
170.0,231767,8554478
280.0,565092,8588629
200.0,318967,8587852
300.0,590154,8726612
310.0,564925,8695033
320.0,103314,8367585
190.0,328770,8768807
170.0,363136,8618101
320.0,126013,8384708
180.0,218660,8504503
100.0,379148,8583132
70.0,470186,8161807
150.0,478463,8522472
60.0,478449,8205689
90.0,525702,8610920
80.0,432120,8558277
140.0,470565,8621677
110.0,219313,8644889
120.0,273789,8608261
230.0,111284,8808138
210.0,378019,8841659
220.0,86704,8404133
390.0,99661,8547804
50.0,227344,8701697
170.0,60199,8498008
220.0,222422,8611246
360.0,148314,8503260
290.0,206872,8466415
380.0,95637,8588277
230.0,234167,8334313
90.0,483697,8317418
70.0,474970,8393900
60.0,447976,8475791
140.0,376121,8465542
340.0,554525,8616217
280.0,539711,8601382
130.0,444376,8292494
200.0,452023,8377823
190.0,630451,8672395
250.0,421063,8220214
200.0,475406,8561927
180.0,451377,8362997
110.0,502092,8568913
160.0,471049,8342039
140.0,360800,8058581
390.0,353304,8814198
160.0,618778,8722379
140.0,324040,8706849
360.0,312502,8808138
230.0,485509,8365689
460.0,536936,8574966
450.0,-37244,8550072
230.0,586550,8594418
150.0,407554,8813799
74.0,488290,8269910
170.0,467143,8362337
160.0,461959,8333506
370.0,570076,8662348
50.0,418595,8119521
250.0,386493,8308295
216.0,454468,8422620
60.0,457164,8067947
190.0,506388,8627343
160.0,438801,8358357
80.0,426177,8044239
86.0,373046,8357108
110.0,551593,8667472
89.0,416238,8073332
210.0,496265,8652158
600.0,520538,8780310
240.0,428486,8980949
290.0,592315,8677440
290.0,531546,8692961
620.0,581245,8633366
210.0,326718,8673546
190.0,450338,8852227
180.0,509298,8842995
220.0,492162,8760108
280.0,348534,8281848
160.0,467791,8575623
90.0,620197,8826121
90.0,251817,8496867
410.0,556021,8598551
180.0,99497,8464321
290.0,34853,8528398
440.0,116345,8523995
440.0,479255,8975155
340.0,93776,8639170
360.0,135063,8576084
670.0,544725,8721517
520.0,500623,8710410
360.0,210185,8882480
450.0,589349,8705397
310.0,176644,8471200
240.0,652935,8717549
190.0,437918,8592110
220.0,489785,8579920
250.0,500132,8598874
300.0,374343,8677274
270.0,359023,8767912
270.0,401987,8349864
280.0,464547,8639567
210.0,443414,8343556
290.0,421267,8325030
170.0,158739,8545672
180.0,549469,8901207
310.0,577506,8945277
290.0,501896,8680455
610.0,494603,8808702
270.0,614754,8864720
350.0,8052,8452124
250.0,44556,8428735
250.0,421677,8772166
270.0,465114,9023696
460.0,515778,9016333
240.0,415176,8571746
340.0,483997,8631412
320.0,453438,8694805
300.0,476908,8593217
430.0,593982,8921193
100.0,456685,8401969
100.0,29944,8412658
140.0,150948,8597918
140.0,145797,8782108
30.0,550375,8657314
40.0,543253,8616111
100.0,346572,8939507
100.0,350677,8928464
80.0,344522,8941511
330.0,522374,8977999
170.0,207380,8804853
240.0,232257,8736644
270.0,203791,8868215
300.0,459448,8857370
120.0,145873,8775065
320.0,406532,9021625
170.0,186616,8750317
70.0,588155,8839192
100.0,597245,8830122
160.0,311452,8851863
160.0,222076,8744603
260.0,107224,8359589
180.0,101527,8402820
170.0,382320,8891149
20.0,512410,8602603
180.0,432628,8601987
450.0,78856,8785350
260.0,483723,9001120
360.0,58209,8477683
400.0,228755,8923749
250.0,493887,9018215
270.0,-18942,8372342
150.0,465910,8371148
180.0,491071,8273461
420.0,-10740,8410848
170.0,-17455,8396592
370.0,-7774,8412928
250.0,32408,8517570
260.0,489927,8652335
160.0,478872,8626188
240.0,445484,8721654
300.0,595895,8717529
230.0,406357,8642135
370.0,119823,8517945
50.0,491915,8742809
280.0,489756,8678084
350.0,55001,8384781
330.0,490852,8971979
350.0,233246,8624966
430.0,106471,8735891
290.0,102192,8488466
130.0,107481,8470416
360.0,248085,8542601
580.0,257459,8596848
420.0,200248,8341801
190.0,64259,8417316
150.0,187691,8555908
200.0,154835,8452968
530.0,96295,8546814
510.0,94406,8538729
250.0,469705,8727714
270.0,355062,8848046
240.0,369273,8602772
580.0,516060,8561853
370.0,271714,8731931
480.0,575406,8600971
270.0,566123,8983987
350.0,111268,8787754
640.0,71826,8780216
481.0,511332,8972994
290.0,154246,8931690
250.0,191465,8507755
90.0,437355,8315783
130.0,283238,8331464
200.0,230682,8556016
230.0,331830,8573415
250.0,507236,8588666
280.0,300898,8599027
160.0,534397,8608921
150.0,552583,8654969
80.0,395325,8522111
290.0,490938,8642115
260.0,432999,8616235
40.0,187913,8662597
300.0,191783,8478099
170.0,424410,8450318
320.0,-263663,8524435
40.0,-26267,8642933
60.0,-53564,8549911
180.0,343830,8697006
190.0,366865,8837204
190.0,390895,8741447
390.0,193303,8860077
250.0,492701,8857732
140.0,-38172,8598319
90.0,358455,8676799
307.0,57419,8418874
300.0,223961,8911979
269.0,258625,8674320
138.0,258478,8692761
506.0,166457,8483325
480.0,224030,8902757
270.0,241825,8974813
530.0,-175109,8611303
30.0,-37349,8651982
290.0,470927,8719507
90.0,-17562,8665281
50.0,-59858,8503516
394.0,192862,8911732
150.0,326271,8932882
180.0,445258,8857690
210.0,445308,8826361
100.0,489048,8868788
200.0,-23087,8668883
269.0,123708,8443965
203.0,436111,8127723
440.0,-111912,8646833
110.0,-5090,8576739
470.0,-96854,8537889
420.0,-22922,8559764
530.0,-98475,8704497
380.0,-193513,8554147
500.0,-117633,8574479
270.0,-186502,8493124
270.0,-16696,8837275
550.0,-44593,8649995
290.0,-37027,8539136
60.0,-12350,8576607
450.0,-83514,8508564
100.0,4978,8521449
330.0,22390,8779824
330.0,-78321,8519785
130.0,-70843,8508839
420.0,-135262,8631510
180.0,-107321,8519145
370.0,60689,8941793
60.0,-63791,8518239
330.0,-265740,8743509
190.0,-61235,8570116
500.0,-132261,8500037
590.0,-81498,8700308
440.0,18652,8567907
200.0,424276,8020783
460.0,5761,8578775
60.0,-153847,8647778
320.0,-60326,8525718
160.0,-107237,8515435
350.0,-24876,8613344
130.0,4640,8539926
550.0,23496,8603116
400.0,48899,8890690
460.0,-10421,8785594
80.0,446680,8159096
350.0,42283,8947118
440.0,-109546,8620948
530.0,5198,8721133
520.0,-144860,8496031
60.0,-84130,8531757
690.0,6968,8613928
260.0,46331,8651532
150.0,-162747,8638316
220.0,-155720,8705223
370.0,-111255,8800541
550.0,-188520,8572821
730.0,-28111,8750171
340.0,128538,8938831
420.0,-7211,8815230
80.0,521494,8612342
40.0,541065,8626663
160.0,229067,8735271
170.0,209808,8745648
180.0,249939,8744665
111.0,189834,8747988
69.0,493503,8194130
111.0,481670,8186195
149.0,483540,8184968
85.0,483450,8186197
143.0,484310,8187027
105.0,486683,8186691
144.0,483301,8187334
200.0,485791,8188134
131.0,487720,8187890
87.0,486678,8194588
71.0,488784,8195450
207.0,474290,8190239
187.0,474511,8190797
123.0,475437,8191044
137.0,476740,8192214
148.0,478194,8191785
147.0,475675,8190277
105.0,494274,8195205
168.0,474607,8189753
123.0,479272,8192346
171.0,479478,8193129
137.0,481871,8194523
154.0,495218,8189685
154.0,491468,8189767
115.0,493740,8193331
140.0,491614,8189662
95.0,490181,8190349
79.0,488786,8191547
167.0,492166,8198985
177.0,493797,8200029
114.0,497657,8189952
123.0,492199,8186786
92.0,493622,8192010
162.0,495847,8190105
126.0,495461,8190290
