areia_tota,x,y
893.0,333353,8946244
859.0,335782,8949468
646.0,354402,8905960
583.0,352442,8898104
717.0,331005,8916778
633.0,331003,8915766
647.0,338082,8917618
662.0,354177,8905250
487.0,350802,8903700
539.0,352963,8902790
753.0,332531,8954210
883.0,335119,8950698
879.0,333182,8945648
923.0,338239,8945978
678.0,333968,8949822
764.0,334190,8950920
440.0,353396,8935731
260.0,344687,8961239
690.0,43654,8383512
160.0,-85173,8421499
670.0,-63513,8421995
60.0,-88694,8417718
110.0,-72450,8418094
720.0,9751,8368055
560.0,85409,8362084
190.0,-4639,8367760
260.0,344472,8961393
500.0,358772,8541895
640.0,288333,8632395
690.0,186330,8625626
600.0,537576,8642945
410.0,311357,8867265
590.0,295450,8343600
580.0,263908,8731728
600.0,331663,8507570
500.0,322739,8645981
530.0,460568,8592564
650.0,353281,8107160
670.0,142235,8362829
550.0,241627,8468942
580.0,143422,8607373
490.0,125764,8448232
420.0,231767,8554478
800.0,565092,8588629
650.0,318967,8587852
640.0,590154,8726612
810.0,564925,8695033
650.0,103314,8367585
850.0,328770,8768807
730.0,363136,8618101
630.0,126013,8384708
600.0,218660,8504503
770.0,379148,8583132
560.0,470186,8161807
550.0,478463,8522472
540.0,478449,8205689
560.0,525702,8610920
510.0,432120,8558277
730.0,470565,8621677
350.0,219313,8644889
310.0,273789,8608261
730.0,111284,8808138
770.0,378019,8841659
620.0,86704,8404133
670.0,99661,8547804
110.0,227344,8701697
360.0,60199,8498008
450.0,222422,8611246
570.0,148314,8503260
550.0,206872,8466415
700.0,95637,8588277
710.0,234167,8334313
330.0,483697,8317418
160.0,474970,8393900
170.0,447976,8475791
420.0,376121,8465542
380.0,554525,8616217
370.0,539711,8601382
240.0,444376,8292494
630.0,452023,8377823
620.0,630451,8672395
850.0,421063,8220214
750.0,475406,8561927
510.0,451377,8362997
440.0,502092,8568913
670.0,471049,8342039
760.0,360800,8058581
640.0,353304,8814198
790.0,618778,8722379
720.0,324040,8706849
580.0,312502,8808138
810.0,485509,8365689
810.0,536936,8574966
730.0,-37244,8550072
830.0,586550,8594418
850.0,407554,8813799
95.0,488290,8269910
490.0,467143,8362337
670.0,461959,8333506
790.0,570076,8662348
850.0,418595,8119521
790.0,386493,8308295
560.0,454468,8422620
910.0,457164,8067947
860.0,506388,8627343
700.0,438801,8358357
910.0,426177,8044239
396.0,373046,8357108
880.0,551593,8667472
442.0,416238,8073332
830.0,496265,8652158
850.0,520538,8780310
860.0,428486,8980949
470.0,592315,8677440
810.0,531546,8692961
810.0,581245,8633366
590.0,326718,8673546
580.0,450338,8852227
360.0,509298,8842995
570.0,492162,8760108
420.0,348534,8281848
330.0,467791,8575623
180.0,620197,8826121
150.0,251817,8496867
540.0,556021,8598551
520.0,99497,8464321
560.0,34853,8528398
