ph_kcl,x,y
4.0,333353,8946244
4.099999904632568,335782,8949468
5.5,354402,8905960
6.599999904632568,352442,8898104
6.5,331005,8916778
7.400000095367432,331003,8915766
7.099999904632568,338082,8917618
6.0,354177,8905250
5.599999904632568,350802,8903700
5.900000095367432,352963,8902790
4.400000095367432,332531,8954210
5.0,335119,8950698
5.400000095367432,333182,8945648
4.199999809265137,338239,8945978
3.900000095367432,333968,8949822
5.199999809265137,334190,8950920
7.300000190734863,353396,8935731
6.300000190734863,344687,8961239
5.400000095367432,43654,8383512
5.699999809265137,-85173,8421499
5.300000190734863,-63513,8421995
5.599999904632568,-88694,8417718
6.0,-72450,8418094
6.0,9751,8368055
5.300000190734863,85409,8362084
5.800000190734863,-4639,8367760
6.300000190734863,344472,8961393
4.0,358772,8541895
3.5999999046325684,288333,8632395
3.700000047683716,186330,8625626
4.0,537576,8642945
3.900000095367432,311357,8867265
3.5,295450,8343600
4.0,263908,8731728
6.800000190734863,331663,8507570
4.5,322739,8645981
3.799999952316284,460568,8592564
5.599999904632568,353281,8107160
4.199999809265137,142235,8362829
3.5999999046325684,241627,8468942
3.900000095367432,143422,8607373
3.799999952316284,125764,8448232
4.0,231767,8554478
4.0,565092,8588629
4.400000095367432,318967,8587852
4.0,590154,8726612
3.799999952316284,564925,8695033
4.0,103314,8367585
4.099999904632568,328770,8768807
4.300000190734863,363136,8618101
3.700000047683716,126013,8384708
4.800000190734863,218660,8504503
3.700000047683716,379148,8583132
3.799999952316284,44556,8428735
4.400000095367432,470186,8161807
4.400000095367432,478463,8522472
4.199999809265137,478449,8205689
4.199999809265137,525702,8610920
5.300000190734863,432120,8558277
3.799999952316284,470565,8621677
4.400000095367432,219313,8644889
5.5,273789,8608261
6.0,111284,8808138
5.699999809265137,378019,8841659
4.599999904632568,86704,8404133
3.900000095367432,99661,8547804
5.599999904632568,227344,8701697
5.0,60199,8498008
5.400000095367432,222422,8611246
5.599999904632568,148314,8503260
5.900000095367432,206872,8466415
4.699999809265137,95637,8588277
4.300000190734863,234167,8334313
4.300000190734863,483697,8317418
5.199999809265137,474970,8393900
5.099999904632568,447976,8475791
4.099999904632568,376121,8465542
3.700000047683716,490813,8492876
4.099999904632568,554525,8616217
5.0,539711,8601382
3.299999952316284,444376,8292494
5.0,452023,8377823
4.0,630451,8672395
5.400000095367432,421063,8220214
5.099999904632568,475406,8561927
4.400000095367432,451377,8362997
4.199999809265137,502092,8568913
4.199999809265137,471049,8342039
5.800000190734863,360800,8058581
4.5,353304,8814198
4.099999904632568,349025,8793330
4.300000190734863,618778,8722379
4.099999904632568,324040,8706849
4.400000095367432,312502,8808138
4.599999904632568,485509,8365689
4.400000095367432,536936,8574966
4.0,-37244,8550072
4.5,586550,8594418
3.5999999046325684,407554,8813799
6.0,488290,8269910
4.300000190734863,467143,8362337
4.5,461959,8333506
4.400000095367432,570076,8662348
6.800000190734863,418595,8119521
4.300000190734863,386493,8308295
5.300000190734863,454468,8422620
5.0,457164,8067947
3.900000095367432,506388,8627343
5.599999904632568,438801,8358357
4.300000190734863,426177,8044239
4.800000190734863,373046,8357108
4.5,551593,8667472
6.699999809265137,416238,8073332
4.300000190734863,496265,8652158
3.700000047683716,520538,8780310
5.5,428486,8980949
4.0,592315,8677440
4.400000095367432,531546,8692961
4.0,581245,8633366
6.0,326718,8673546
5.800000190734863,450338,8852227
4.900000095367432,509298,8842995
4.800000190734863,492162,8760108
6.0,348534,8281848
4.5,467791,8575623
5.900000095367432,620197,8826121
3.799999952316284,251817,8496867
4.300000190734863,556021,8598551
5.800000190734863,99497,8464321
5.5,34853,8528398
4.900000095367432,116345,8523995
4.300000190734863,479255,8975155
5.699999809265137,93776,8639170
5.099999904632568,135063,8576084
3.900000095367432,544725,8721517
4.400000095367432,500623,8710410
5.099999904632568,210185,8882480
4.199999809265137,589349,8705397
4.599999904632568,176644,8471200
4.599999904632568,652935,8717549
3.900000095367432,437918,8592110
4.0,489785,8579920
4.400000095367432,500132,8598874
7.400000095367432,374343,8677274
5.300000190734863,359023,8767912
6.900000095367432,401987,8349864
5.0,464547,8639567
4.900000095367432,443414,8343556
4.900000095367432,421267,8325030
5.699999809265137,158739,8545672
6.400000095367432,549469,8901207
5.0,577506,8945277
4.5,501896,8680455
7.400000095367432,494603,8808702
4.400000095367432,614754,8864720
4.5,8052,8452124
4.5,421677,8772166
5.099999904632568,465114,9023696
4.5,515778,9016333
4.199999809265137,415176,8571746
4.699999809265137,483997,8631412
5.199999809265137,453438,8694805
3.700000047683716,476908,8593217
4.599999904632568,593982,8921193
4.800000190734863,456685,8401969
4.800000190734863,29944,8412658
5.300000190734863,150948,8597918
7.300000190734863,145797,8782108
6.599999904632568,550375,8657314
4.199999809265137,543253,8616111
7.300000190734863,346572,8939507
7.0,350677,8928464
6.0,344522,8941511
5.900000095367432,522374,8977999
7.5,207380,8804853
6.300000190734863,232257,8736644
7.099999904632568,203791,8868215
5.300000190734863,459448,8857370
6.300000190734863,145873,8775065
4.5,406532,9021625
6.800000190734863,186616,8750317
6.800000190734863,588155,8839192
5.900000095367432,597245,8830122
5.900000095367432,311452,8851863
6.800000190734863,222076,8744603
5.400000095367432,107224,8359589
5.099999904632568,101527,8402820
5.400000095367432,382320,8891149
4.800000190734863,512410,8602603
4.599999904632568,432628,8601987
4.900000095367432,78856,8785350
4.599999904632568,483723,9001120
4.5,58209,8477683
5.099999904632568,228755,8923749
5.300000190734863,493887,9018215
5.0,-18942,8372342
4.699999809265137,465910,8371148
4.300000190734863,491071,8273461
6.0,-10740,8410848
4.599999904632568,-17455,8396592
4.199999809265137,-7774,8412928
3.900000095367432,32408,8517570
5.199999809265137,489927,8652335
5.199999809265137,478872,8626188
4.199999809265137,595895,8717529
5.599999904632568,406357,8642135
5.5,119823,8517945
6.0,491915,8742809
5.300000190734863,489756,8678084
5.0,55001,8384781
5.900000095367432,490852,8971979
3.799999952316284,233246,8624966
4.699999809265137,106471,8735891
3.900000095367432,102192,8488466
3.900000095367432,107481,8470416
3.799999952316284,248085,8542601
4.0,257459,8596848
4.300000190734863,200248,8341801
3.700000047683716,64259,8417316
3.799999952316284,187691,8555908
4.300000190734863,154835,8452968
3.5999999046325684,96295,8546814
3.700000047683716,94406,8538729
5.0,469705,8727714
4.599999904632568,355062,8848046
5.400000095367432,369273,8602772
3.700000047683716,516060,8561853
2.799999952316284,271714,8731931
4.400000095367432,575406,8600971
5.599999904632568,566123,8983987
4.0,111268,8787754
5.900000095367432,71826,8780216
4.199999809265137,511332,8972994
3.400000095367432,191465,8507755
4.400000095367432,437355,8315783
4.400000095367432,283238,8331464
3.799999952316284,230682,8556016
3.900000095367432,331830,8573415
3.799999952316284,507236,8588666
5.5,300898,8599027
3.900000095367432,534397,8608921
4.900000095367432,552583,8654969
4.599999904632568,395325,8522111
5.099999904632568,490938,8642115
5.300000190734863,432999,8616235
5.900000095367432,187913,8662597
5.5,191783,8478099
5.5,424410,8450318
4.199999809265137,-263663,8524435
5.599999904632568,-26267,8642933
5.199999809265137,-53564,8549911
5.0,343830,8697006
3.799999952316284,366865,8837204
3.700000047683716,390895,8741447
5.0,193303,8860077
5.400000095367432,492701,8857732
6.0,-38172,8598319
4.900000095367432,358455,8676799
5.0,57419,8418874
4.400000095367432,223961,8911979
4.400000095367432,258625,8674320
4.099999904632568,258478,8692761
4.900000095367432,166457,8483325
6.599999904632568,224030,8902757
3.799999952316284,241825,8974813
3.799999952316284,-175109,8611303
5.800000190734863,-37349,8651982
4.400000095367432,470927,8719507
4.599999904632568,-17562,8665281
6.0,-59858,8503516
5.0,192862,8911732
5.099999904632568,326271,8932882
5.400000095367432,445258,8857690
5.800000190734863,445308,8826361
5.699999809265137,489048,8868788
5.699999809265137,-23087,8668883
4.800000190734863,123708,8443965
4.099999904632568,436111,8127723
3.900000095367432,-111912,8646833
3.799999952316284,-5090,8576739
3.900000095367432,-96854,8537889
3.5,-22922,8559764
4.400000095367432,-98475,8704497
3.799999952316284,-193513,8554147
3.900000095367432,-117633,8574479
4.099999904632568,-186502,8493124
3.799999952316284,-16696,8837275
3.5999999046325684,-44593,8649995
3.799999952316284,-37027,8539136
3.700000047683716,-12350,8576607
4.5,-83514,8508564
4.900000095367432,4978,8521449
5.400000095367432,22390,8779824
5.300000190734863,-78321,8519785
5.699999809265137,-70843,8508839
5.099999904632568,-135262,8631510
5.5,-107321,8519145
4.599999904632568,60689,8941793
5.699999809265137,-63791,8518239
5.199999809265137,-265740,8743509
5.400000095367432,-61235,8570116
5.5,-132261,8500037
6.0,-81498,8700308
4.400000095367432,18652,8567907
4.300000190734863,424276,8020783
5.800000190734863,5761,8578775
5.300000190734863,-153847,8647778
5.400000095367432,-60326,8525718
6.199999809265137,-107237,8515435
4.699999809265137,-24876,8613344
5.599999904632568,4640,8539926
5.5,23496,8603116
4.300000190734863,48899,8890690
4.800000190734863,-10421,8785594
4.5,446680,8159096
4.0,42283,8947118
5.0,-109546,8620948
3.799999952316284,5198,8721133
3.799999952316284,-144860,8496031
7.400000095367432,-84130,8531757
3.900000095367432,-143134,8499776
3.5999999046325684,-148526,8497787
3.799999952316284,6968,8613928
5.5,46331,8651532
5.199999809265137,-162747,8638316
5.099999904632568,-155720,8705223
3.799999952316284,-111255,8800541
4.0,-188520,8572821
3.900000095367432,-28111,8750171
5.300000190734863,128538,8938831
3.700000047683716,-7211,8815230
3.799999952316284,521494,8612342
5.5,541065,8626663
7.5,229067,8735271
6.099999904632568,209808,8745648
7.0,249939,8744665
7.300000190734863,189834,8747988
4.300000190734863,481670,8186195
4.900000095367432,483450,8186197
4.300000190734863,486683,8186691
5.400000095367432,483301,8187334
5.0,485791,8188134
6.300000190734863,474511,8190797
5.0,478194,8191785
5.599999904632568,475675,8190277
5.800000190734863,493740,8193331
7.099999904632568,490181,8190349
