silte,x,y
27.0,333353,8946244
41.0,335782,8949468
110.0,354402,8905960
130.0,352442,8898104
130.0,331005,8916778
203.0,331003,8915766
168.0,338082,8917618
114.0,354177,8905250
183.0,350802,8903700
195.0,352963,8902790
65.0,332531,8954210
37.0,335119,8950698
61.0,333182,8945648
17.0,338239,8945978
40.0,333968,8949822
75.0,334190,8950920
210.0,353396,8935731
190.0,344687,8961239
110.0,43654,8383512
340.0,-85173,8421499
150.0,-63513,8421995
340.0,-88694,8417718
340.0,-72450,8418094
140.0,9751,8368055
240.0,85409,8362084
390.0,-4639,8367760
190.0,344472,8961393
70.0,358772,8541895
60.0,288333,8632395
60.0,186330,8625626
100.0,537576,8642945
100.0,311357,8867265
50.0,295450,8343600
90.0,263908,8731728
110.0,331663,8507570
80.0,322739,8645981
110.0,460568,8592564
90.0,353281,8107160
60.0,142235,8362829
150.0,241627,8468942
100.0,143422,8607373
80.0,125764,8448232
100.0,231767,8554478
50.0,565092,8588629
100.0,318967,8587852
140.0,590154,8726612
70.0,564925,8695033
130.0,103314,8367585
60.0,328770,8768807
90.0,363136,8618101
100.0,126013,8384708
170.0,218660,8504503
70.0,379148,8583132
80.0,470186,8161807
120.0,478463,8522472
90.0,478449,8205689
40.0,525702,8610920
70.0,432120,8558277
60.0,470565,8621677
180.0,219313,8644889
200.0,273789,8608261
130.0,111284,8808138
100.0,378019,8841659
150.0,86704,8404133
110.0,99661,8547804
330.0,227344,8701697
210.0,60199,8498008
220.0,222422,8611246
150.0,148314,8503260
160.0,206872,8466415
100.0,95637,8588277
50.0,234167,8334313
170.0,483697,8317418
100.0,474970,8393900
280.0,447976,8475791
170.0,376121,8465542
390.0,554525,8616217
300.0,539711,8601382
540.0,444376,8292494
150.0,452023,8377823
40.0,630451,8672395
70.0,421063,8220214
90.0,475406,8561927
270.0,451377,8362997
260.0,502092,8568913
140.0,471049,8342039
40.0,360800,8058581
100.0,353304,8814198
40.0,618778,8722379
60.0,324040,8706849
150.0,312502,8808138
70.0,485509,8365689
80.0,536936,8574966
150.0,-37244,8550072
70.0,586550,8594418
50.0,407554,8813799
646.0,488290,8269910
360.0,467143,8362337
140.0,461959,8333506
150.0,570076,8662348
90.0,418595,8119521
80.0,386493,8308295
328.0,454468,8422620
30.0,457164,8067947
70.0,506388,8627343
170.0,438801,8358357
40.0,426177,8044239
202.0,373046,8357108
40.0,551593,8667472
174.0,416238,8073332
50.0,496265,8652158
40.0,520538,8780310
60.0,428486,8980949
290.0,592315,8677440
70.0,531546,8692961
60.0,581245,8633366
210.0,326718,8673546
240.0,450338,8852227
280.0,509298,8842995
310.0,492162,8760108
290.0,348534,8281848
230.0,467791,8575623
430.0,620197,8826121
540.0,251817,8496867
210.0,556021,8598551
220.0,99497,8464321
240.0,34853,8528398
110.0,116345,8523995
200.0,479255,8975155
120.0,93776,8639170
120.0,135063,8576084
110.0,544725,8721517
150.0,500623,8710410
70.0,210185,8882480
240.0,589349,8705397
90.0,176644,8471200
130.0,652935,8717549
80.0,437918,8592110
310.0,489785,8579920
280.0,500132,8598874
180.0,374343,8677274
220.0,359023,8767912
200.0,401987,8349864
180.0,464547,8639567
280.0,443414,8343556
290.0,421267,8325030
270.0,158739,8545672
340.0,549469,8901207
200.0,577506,8945277
220.0,501896,8680455
240.0,494603,8808702
