areia_gros,x,y
100.0,713142,7119255
100.0,321554,7001212
20.0,265317,7092284
20.0,375453,7066121
30.0,360821,7037165
20.0,372463,7066091
50.0,308290,7025396
40.0,343537,7067986
20.0,331469,7001350
10.0,473300,6972554
10.0,331439,7003565
200.0,521965,7093289
10.0,569954,7105301
90.0,237258,6999720
70.0,624702,6885529
50.0,541277,6897188
120.0,564040,6926998
60.0,554603,7021199
70.0,554433,6982432
10.0,447263,7050005
30.0,397688,7027548
10.0,442303,7046661
10.0,509915,7005808
40.0,395637,7035285
140.0,293369,7026268
60.0,475218,7002464
70.0,651943,6865265
110.0,727078,7114587
150.0,716422,7075978
90.0,680862,6832715
210.0,704132,7056232
110.0,716553,7083734
150.0,691217,7058648
160.0,722022,7053716
50.0,656180,6815338
230.0,663849,6805257
30.0,611661,7073994
210.0,597929,7104013
530.0,715494,6854301
30.0,668627,6866148
130.0,683883,6838210
50.0,402399,7060816
40.0,581983,6957909
40.0,502956,6930491
20.0,450226,7055555
50.0,687847,7100806
10.0,495023,7054544
170.0,303409,7019779
30.0,413658,7016590
40.0,398424,7059678
180.0,526959,7094387
220.0,621526,7062826
50.0,714740,7094847
220.0,646431,6816573
30.0,711416,7074954
90.0,653222,6813161
90.0,338152,7021383
150.0,252025,7005565
20.0,294290,7030716
140.0,498004,7091092
90.0,668920,6818485
150.0,711798,7098220
110.0,504990,7088876
80.0,634263,6777932
810.0,715535,6856518
580.0,731487,7081258
10.0,428394,7043267
30.0,614797,6876764
40.0,566028,6930311
90.0,483153,6999155
120.0,683626,6884767
240.0,304402,7019795
130.0,495067,6943782
160.0,318579,7001169
320.0,638249,6785643
123.0,432561,6981999
135.0,650484,6990025
67.80000305175781,315858,7028204
144.0,315796,7028135
202.0,315571,7027949
112.3000030517578,314031,7027935
90.0,313883,7027897
138.0,313798,7033174
76.80000305175781,313526,7032695
91.5999984741211,312590,7032393
86.0999984741211,314863,7030097
269.0,315958,7032938
64.80000305175781,315786,7033302
200.0,315879,7032632
215.0,312334,7033398
137.5,313374,7034598
103.0,311880,7032254
160.0,314158,7029889
173.89999389648438,313129,7029624
79.0,551054,7097674
162.0,582761,6950957
79.0,550312,7099462
37.0,550780,7098629
44.0,550167,7098016
19.0,551344,7100934
23.0,552089,7099916
10.0,552841,7100559
70.0,552958,7102005
86.0,552014,7101947
45.0,556060,7100607
77.0,555141,7099750
15.0,554306,7099138
27.0,555635,7098609
23.0,554007,7100554
160.0,549617,7099126
33.0,549888,7097587
67.0,649479,6990503
81.0,650929,6991194
107.0,650391,6991262
264.0,703452,6930716
593.0,630845,6783513
22.0,651353,6991106
27.0,650919,6992260
126.0,651070,6991927
184.0,652381,6995260
44.0,651558,6995376
201.0,650976,6995635
73.0,651090,6994361
156.0,648190,6992498
124.0,647411,6993005
47.0,646366,6992611
404.0,624950,6985385
15.0,661264,6874540
19.0,661294,6874364
571.0,661411,6873893
222.0,662235,6873423
70.0,662764,6870129
44.0,662823,6870599
443.0,663529,6871952
602.0,629225,6988010
226.0,625350,6987260
145.0,628325,6987160
259.0,625200,6985760
494.0,625450,6986160
133.0,628300,6986010
527.0,627150,6985700
221.0,627675,6987560
261.0,676856,6824982
206.0,668941,6872070
109.0,654264,6875099
517.0,664294,6874011
228.0,664529,6872599
48.0,668235,6872570
129.0,667141,6872187
22.0,665881,6871481
151.0,666175,6868658
53.0,666293,6869540
423.0,669949,6867364
633.0,669411,6868071
247.0,670009,6868364
512.0,670881,6867246
178.0,662999,6871658
392.0,662175,6870364
508.0,664528,6872937
497.0,674170,6824697
388.0,673828,6825440
562.0,673885,6825840
670.0,672513,6825820
470.0,725558,7005309
529.0,672228,6825382
565.0,670970,6823782
449.0,671713,6824868
315.0,670762,6824411
516.0,669428,6824297
544.0,668456,6824754
313.0,668499,6824526
405.0,665828,6826182
570.0,662970,6824468
77.0,598839,6774140
204.0,719358,6999746
161.0,735282,7003595
387.0,606774,6770914
371.0,607761,6772076
586.0,602774,6772914
611.0,597355,6772656
298.0,248419,7052428
116.0,245931,7052801
87.0,248699,7053359
75.0,248792,7053963
210.0,730370,7004528
225.0,723509,6998312
525.0,729735,7009142
235.0,727056,7004689
206.0,246327,7054150
9.0,308345,7011945
161.0,306990,7010483
50.0,308021,7010182
104.0,307119,7010526
13.0,307420,7010397
91.0,308259,7010655
26.0,424381,6974391
68.0,421016,6975089
77.0,422317,6976962
380.0,420825,6972327
102.0,421333,6971597
541.0,730075,7008010
223.0,729555,7002528
251.0,421524,6970581
155.0,422888,6974000
153.0,420952,6970645
282.0,240369,7012366
182.0,723924,6997972
299.0,731999,7007309
212.0,729454,7005413
3.0,732155,7009361
78.0,726778,7004633
107.0,238106,7013062
96.0,237158,7013905
263.0,238211,7010431
179.0,237843,7012170
163.0,238580,7010852
63.0,433905,6989470
233.0,443302,6987438
49.0,437905,6989661
228.0,442222,6988899
66.0,440952,6988962
124.0,447047,6985788
167.0,441524,6987629
242.0,457329,7024415
119.0,723999,7002085
168.0,734980,7005670
778.0,731433,7007368
342.0,686036,7035347
486.0,683866,7031443
378.0,686504,7034764
446.0,684568,7032083
411.0,685738,7035521
365.0,685185,7037317
34.0,457263,7023890
119.0,455426,7022644
27.0,453689,7022711
35.0,457788,7020415
42.0,451951,7025137
20.0,452869,7026449
6.0,474201,7007856
70.0,473225,7011025
350.0,685951,7038381
468.0,684717,7032695
280.0,684547,7034304
89.0,476138,7022393
51.0,480388,7027018
43.0,479263,7021893
36.0,474826,7020643
35.0,476826,7021081
71.0,356665,7031442
8.0,358522,7031270
79.0,357951,7028241
14.0,355265,7034470
42.0,354579,7035073
32.0,353833,7034527
29.0,354008,7035270
266.0,239140,7000605
160.0,701361,7072851
2.0,469751,7011956
154.0,469151,7009406
153.0,471726,7006956
147.0,477751,7009006
30.0,469931,7009081
281.0,236870,7003415
259.0,237735,7003199
69.0,237356,7000172
60.0,239356,7003307
115.0,237843,6999469
150.0,694581,7086254
30.0,423278,7057589
260.0,496951,7094368
40.0,692335,7069665
307.0,373892,6994073
29.0,373294,6992765
32.0,373774,6995073
80.0,375480,6994309
32.0,375363,6993603
58.0,374598,6999073
145.0,373127,6995309
42.0,373539,6993838
205.0,373716,6993956
16.0,374598,6990662
93.0,374774,6989253
135.0,374539,6998750
156.0,372186,6991779
109.0,561065,6922041
70.0,554212,7022773
209.0,590852,7105183
121.0,585252,6955207
50.0,543403,6899094
70.0,622542,6881389
211.0,678869,6938299
31.0,585707,6914131
70.0,554234,7022822
16.0,529219,7019450
25.0,469915,7003514
23.0,443647,7047703
19.0,432632,7038574
21.0,390829,7029297
45.0,396486,7029101
0.0,475812,6967782
12.0,529052,6980025
17.0,541589,6972513
48.0,640621,6860758
300.0,637818,6806379
40.0,564806,6900298
140.0,439061,7039614
80.0,596698,6869372
70.0,632006,6862038
40.0,522579,6919747
20.0,287572,7072611
150.0,569313,6967904
420.0,609397,7109023
20.0,250035,7041363
120.0,507163,6994773
300.0,639736,6897673
260.0,298456,7008581
140.0,336440,6998554
30.0,537894,6981060
180.0,659614,6870607
70.0,658195,6822240
310.0,649001,6797439
10.0,688977,7024911
170.0,643835,7045374
20.0,701926,7019564
