areia_tota,x,y
470.0,713142,7119255
150.0,321554,7001212
60.0,265317,7092284
40.0,375453,7066121
60.0,360821,7037165
30.0,372463,7066091
70.0,308290,7025396
60.0,343537,7067986
30.0,331469,7001350
20.0,473300,6972554
20.0,331439,7003565
220.0,521965,7093289
30.0,569954,7105301
150.0,237258,6999720
150.0,624702,6885529
100.0,541277,6897188
220.0,564040,6926998
90.0,554603,7021199
100.0,554433,6982432
40.0,447263,7050005
70.0,397688,7027548
50.0,442303,7046661
30.0,509915,7005808
90.0,395637,7035285
230.0,293369,7026268
140.0,475218,7002464
100.0,651943,6865265
430.0,727078,7114587
410.0,716422,7075978
490.0,680862,6832715
510.0,704132,7056232
370.0,716553,7083734
340.0,691217,7058648
580.0,722022,7053716
90.0,656180,6815338
940.0,663849,6805257
40.0,611661,7073994
310.0,597929,7104013
960.0,715494,6854301
60.0,668627,6866148
580.0,683883,6838210
80.0,402399,7060816
60.0,581983,6957909
100.0,502956,6930491
40.0,450226,7055555
120.0,687847,7100806
30.0,495023,7054544
290.0,303409,7019779
60.0,413658,7016590
60.0,398424,7059678
200.0,526959,7094387
250.0,621526,7062826
60.0,714740,7094847
400.0,646431,6816573
40.0,711416,7074954
170.0,653222,6813161
160.0,338152,7021383
300.0,252025,7005565
50.0,294290,7030716
200.0,498004,7091092
130.0,668920,6818485
530.0,711798,7098220
370.0,504990,7088876
180.0,634263,6777932
940.0,715535,6856518
930.0,731487,7081258
20.0,428394,7043267
130.0,614797,6876764
90.0,566028,6930311
260.0,483153,6999155
420.0,683626,6884767
430.0,304402,7019795
460.0,495067,6943782
450.0,318579,7001169
970.0,638249,6785643
137.0,650484,6990025
106.0,432561,6981999
91.0999984741211,315858,7028204
145.0,315796,7028135
203.0,315571,7027949
191.6999969482422,314031,7027935
95.0,313883,7027897
237.5,313798,7033174
196.6999969482422,313526,7032695
162.10000610351562,312590,7032393
105.4000015258789,314863,7030097
271.0,315958,7032938
117.0999984741211,315786,7033302
202.0,315879,7032632
218.0,312334,7033398
153.5,313374,7034598
105.0,311880,7032254
193.0,314158,7029889
286.20001220703125,313129,7029624
79.0,551054,7097674
177.0,582761,6950957
80.0,550312,7099462
38.0,550780,7098629
44.0,550167,7098016
20.0,551344,7100934
23.0,552089,7099916
11.0,552841,7100559
80.0,552958,7102005
91.0,552014,7101947
59.0,556060,7100607
83.0,555141,7099750
20.0,554306,7099138
32.0,555635,7098609
27.0,554007,7100554
169.0,549617,7099126
33.0,549888,7097587
69.0,649479,6990503
85.0,650929,6991194
108.0,650391,6991262
363.0,703452,6930716
607.0,630845,6783513
22.0,651353,6991106
28.0,650919,6992260
129.0,651070,6991927
188.0,652381,6995260
44.0,651558,6995376
207.0,650976,6995635
75.0,651090,6994361
163.0,648190,6992498
125.0,647411,6993005
48.0,646366,6992611
408.0,624950,6985385
18.0,661264,6874540
29.0,661294,6874364
588.0,661411,6873893
224.0,662235,6873423
89.0,662764,6870129
49.0,662823,6870599
473.0,663529,6871952
610.0,629225,6988010
227.0,625350,6987260
146.0,628325,6987160
261.0,625200,6985760
561.0,625450,6986160
140.0,628300,6986010
528.0,627150,6985700
222.0,627675,6987560
262.0,676856,6824982
207.0,668941,6872070
116.0,654264,6875099
518.0,664294,6874011
275.0,664529,6872599
51.0,668235,6872570
148.0,667141,6872187
23.0,665881,6871481
152.0,666175,6868658
55.0,666293,6869540
536.0,669949,6867364
681.0,669411,6868071
544.0,670009,6868364
790.0,670881,6867246
179.0,662999,6871658
399.0,662175,6870364
515.0,664528,6872937
500.0,674170,6824697
549.0,673828,6825440
835.0,673885,6825840
700.0,672513,6825820
530.0,725558,7005309
536.0,672228,6825382
586.0,670970,6823782
457.0,671713,6824868
334.0,670762,6824411
613.0,669428,6824297
731.0,668456,6824754
533.0,668499,6824526
409.0,665828,6826182
571.0,662970,6824468
85.0,598839,6774140
281.0,719358,6999746
490.0,735282,7003595
421.0,606774,6770914
402.0,607761,6772076
609.0,602774,6772914
681.0,597355,6772656
301.0,248419,7052428
120.0,245931,7052801
88.0,248699,7053359
76.0,248792,7053963
505.0,730370,7004528
632.0,723509,6998312
597.0,729735,7009142
462.0,727056,7004689
208.0,246327,7054150
11.0,308345,7011945
176.0,306990,7010483
52.0,308021,7010182
148.0,307119,7010526
354.0,307420,7010397
132.0,308259,7010655
27.0,424381,6974391
74.0,421016,6975089
80.0,422317,6976962
381.0,420825,6972327
103.0,421333,6971597
625.0,730075,7008010
478.0,729555,7002528
253.0,421524,6970581
179.0,422888,6974000
154.0,420952,6970645
295.0,240369,7012366
276.0,723924,6997972
361.0,731999,7007309
408.0,729454,7005413
5.0,732155,7009361
80.0,726778,7004633
113.0,238106,7013062
97.0,237158,7013905
275.0,238211,7010431
188.0,237843,7012170
167.0,238580,7010852
64.0,433905,6989470
250.0,443302,6987438
51.0,437905,6989661
231.0,442222,6988899
78.0,440952,6988962
143.0,447047,6985788
191.0,441524,6987629
258.0,457329,7024415
128.0,723999,7002085
182.0,734980,7005670
887.0,731433,7007368
543.0,686036,7035347
625.0,683866,7031443
523.0,686504,7034764
497.0,684568,7032083
632.0,685738,7035521
655.0,685185,7037317
35.0,457263,7023890
122.0,455426,7022644
28.0,453689,7022711
36.0,457788,7020415
43.0,451951,7025137
22.0,452869,7026449
7.0,474201,7007856
72.0,473225,7011025
469.0,685951,7038381
482.0,684717,7032695
295.0,684547,7034304
102.0,476138,7022393
58.0,480388,7027018
45.0,479263,7021893
39.0,474826,7020643
53.0,476826,7021081
73.0,356665,7031442
9.0,358522,7031270
85.0,357951,7028241
15.0,355265,7034470
62.0,354579,7035073
33.0,353833,7034527
51.0,354008,7035270
269.0,239140,7000605
430.0,701361,7072851
39.0,469751,7011956
168.0,469151,7009406
158.0,471726,7006956
152.0,477751,7009006
31.0,469931,7009081
288.0,236870,7003415
267.0,237735,7003199
77.0,237356,7000172
84.0,239356,7003307
133.0,237843,6999469
410.0,694581,7086254
50.0,423278,7057589
430.0,496951,7094368
130.0,692335,7069665
310.0,373892,6994073
30.0,373294,6992765
34.0,373774,6995073
82.0,375480,6994309
34.0,375363,6993603
60.0,374598,6999073
148.0,373127,6995309
43.0,373539,6993838
206.0,373716,6993956
17.0,374598,6990662
95.0,374774,6989253
142.0,374539,6998750
157.0,372186,6991779
225.0,561065,6922041
121.0,554212,7022773
316.0,590852,7105183
163.0,585252,6955207
100.0,543403,6899094
150.0,622542,6881389
285.0,678869,6938299
81.0,585707,6914131
121.0,554234,7022822
39.0,529219,7019450
66.0,469915,7003514
120.0,443647,7047703
33.0,432632,7038574
52.0,390829,7029297
104.0,396486,7029101
20.0,475812,6967782
28.0,529052,6980025
29.0,541589,6972513
424.0,640621,6860758
410.0,637818,6806379
70.0,564806,6900298
230.0,439061,7039614
140.0,596698,6869372
130.0,632006,6862038
110.0,522579,6919747
30.0,287572,7072611
210.0,569313,6967904
530.0,609397,7109023
20.0,250035,7041363
250.0,507163,6994773
470.0,639736,6897673
330.0,298456,7008581
290.0,336440,6998554
60.0,537894,6981060
530.0,659614,6870607
250.0,658195,6822240
440.0,649001,6797439
20.0,688977,7024911
220.0,643835,7045374
40.0,701926,7019564
