ph_h2o,x,y
5.199999809265137,713142,7119255
4.599999904632568,321554,7001212
5.099999904632568,265317,7092284
4.900000095367432,375453,7066121
6.300000190734863,360821,7037165
5.0,372463,7066091
5.199999809265137,308290,7025396
5.199999809265137,343537,7067986
4.0,331469,7001350
4.199999809265137,473300,6972554
3.900000095367432,331439,7003565
4.400000095367432,521965,7093289
3.900000095367432,569954,7105301
5.099999904632568,624702,6885529
5.0,541277,6897188
5.0,564040,6926998
5.099999904632568,554603,7021199
4.800000190734863,554433,6982432
4.699999809265137,447263,7050005
4.5,397688,7027548
4.300000190734863,442303,7046661
4.099999904632568,509915,7005808
5.0,395637,7035285
6.0,293369,7026268
5.300000190734863,475218,7002464
5.099999904632568,651943,6865265
4.300000190734863,727078,7114587
4.800000190734863,716422,7075978
4.5,680862,6832715
4.800000190734863,704132,7056232
3.5,716553,7083734
4.199999809265137,691217,7058648
4.199999809265137,722022,7053716
4.800000190734863,656180,6815338
4.900000095367432,663849,6805257
4.800000190734863,611661,7073994
4.0,597929,7104013
4.300000190734863,715494,6854301
4.5,668627,6866148
4.400000095367432,683883,6838210
4.0,402399,7060816
3.700000047683716,581983,6957909
4.300000190734863,502956,6930491
4.800000190734863,450226,7055555
4.400000095367432,687847,7100806
4.300000190734863,495023,7054544
6.199999809265137,303409,7019779
4.0,413658,7016590
4.800000190734863,398424,7059678
4.099999904632568,526959,7094387
4.199999809265137,621526,7062826
4.5,714740,7094847
4.099999904632568,646431,6816573
4.599999904632568,711416,7074954
5.900000095367432,653222,6813161
6.5,338152,7021383
4.699999809265137,252025,7005565
5.099999904632568,294290,7030716
5.699999809265137,498004,7091092
4.699999809265137,668920,6818485
3.900000095367432,711798,7098220
4.300000190734863,504990,7088876
4.800000190734863,634263,6777932
4.800000190734863,715535,6856518
5.0,731487,7081258
4.800000190734863,428394,7043267
4.199999809265137,614797,6876764
4.0,566028,6930311
5.300000190734863,483153,6999155
5.099999904632568,683626,6884767
5.699999809265137,304402,7019795
5.599999904632568,495067,6943782
6.099999904632568,318579,7001169
4.800000190734863,638249,6785643
5.699999809265137,432561,6981999
4.199999809265137,650484,6990025
5.800000190734863,315858,7028204
5.900000095367432,315796,7028135
5.599999904632568,315571,7027949
5.5,314031,7027935
6.199999809265137,313883,7027897
5.300000190734863,313798,7033174
6.099999904632568,313526,7032695
4.699999809265137,312590,7032393
4.800000190734863,314863,7030097
5.400000095367432,315958,7032938
6.300000190734863,315786,7033302
5.900000095367432,315879,7032632
5.5,312334,7033398
6.0,313374,7034598
6.5,311880,7032254
5.300000190734863,314158,7029889
5.199999809265137,313129,7029624
4.400000095367432,551054,7097674
4.0,582761,6950957
6.800000190734863,550312,7099462
5.099999904632568,550780,7098629
5.199999809265137,550167,7098016
3.900000095367432,551344,7100934
4.300000190734863,552089,7099916
4.099999904632568,552841,7100559
4.800000190734863,552958,7102005
5.199999809265137,552014,7101947
4.599999904632568,556060,7100607
4.599999904632568,555141,7099750
3.900000095367432,554306,7099138
4.5,555635,7098609
4.199999809265137,554007,7100554
4.199999809265137,549617,7099126
4.5,549888,7097587
4.300000190734863,649479,6990503
4.300000190734863,650929,6991194
4.400000095367432,650391,6991262
4.599999904632568,703452,6930716
4.900000095367432,630845,6783513
5.5,651353,6991106
5.199999809265137,650919,6992260
3.799999952316284,651070,6991927
5.0,652381,6995260
4.800000190734863,651558,6995376
5.800000190734863,650976,6995635
4.5,651090,6994361
6.0,648190,6992498
5.099999904632568,647411,6993005
4.800000190734863,646366,6992611
4.900000095367432,624950,6985385
4.599999904632568,661264,6874540
4.699999809265137,661294,6874364
4.199999809265137,661411,6873893
4.800000190734863,662235,6873423
4.699999809265137,662764,6870129
4.599999904632568,662823,6870599
4.900000095367432,663529,6871952
4.599999904632568,629225,6988010
6.599999904632568,625350,6987260
4.5,628325,6987160
4.599999904632568,625200,6985760
5.900000095367432,625450,6986160
4.599999904632568,628300,6986010
5.099999904632568,627150,6985700
4.400000095367432,627675,6987560
3.799999952316284,676856,6824982
4.099999904632568,668941,6872070
4.199999809265137,654264,6875099
4.5,664294,6874011
4.199999809265137,664529,6872599
3.799999952316284,668235,6872570
5.699999809265137,667141,6872187
4.599999904632568,665881,6871481
5.0,666175,6868658
3.900000095367432,666293,6869540
5.0,669949,6867364
4.699999809265137,669411,6868071
4.5,670009,6868364
5.300000190734863,670881,6867246
