silte,x,y
150.0,713142,7119255
170.0,321554,7001212
180.0,265317,7092284
150.0,375453,7066121
170.0,360821,7037165
200.0,372463,7066091
150.0,308290,7025396
190.0,343537,7067986
190.0,331469,7001350
210.0,473300,6972554
150.0,331439,7003565
280.0,521965,7093289
120.0,569954,7105301
360.0,237258,6999720
210.0,624702,6885529
210.0,541277,6897188
180.0,564040,6926998
220.0,554603,7021199
250.0,554433,6982432
200.0,447263,7050005
300.0,397688,7027548
240.0,442303,7046661
210.0,509915,7005808
320.0,395637,7035285
360.0,293369,7026268
390.0,475218,7002464
480.0,651943,6865265
200.0,727078,7114587
220.0,716422,7075978
210.0,680862,6832715
170.0,704132,7056232
120.0,716553,7083734
170.0,691217,7058648
190.0,722022,7053716
510.0,656180,6815338
20.0,663849,6805257
440.0,611661,7073994
400.0,597929,7104013
10.0,715494,6854301
500.0,668627,6866148
260.0,683883,6838210
250.0,402399,7060816
410.0,581983,6957909
210.0,502956,6930491
290.0,450226,7055555
320.0,687847,7100806
180.0,495023,7054544
340.0,303409,7019779
320.0,413658,7016590
290.0,398424,7059678
260.0,526959,7094387
360.0,621526,7062826
400.0,714740,7094847
310.0,646431,6816573
410.0,711416,7074954
540.0,653222,6813161
440.0,338152,7021383
390.0,252025,7005565
170.0,294290,7030716
300.0,498004,7091092
520.0,668920,6818485
240.0,711798,7098220
440.0,504990,7088876
310.0,634263,6777932
20.0,715535,6856518
60.0,731487,7081258
330.0,428394,7043267
330.0,614797,6876764
320.0,566028,6930311
270.0,483153,6999155
310.0,683626,6884767
320.0,304402,7019795
340.0,495067,6943782
310.0,318579,7001169
10.0,638249,6785643
575.0,432561,6981999
403.0,650484,6990025
369.2999877929688,315858,7028204
295.0,315796,7028135
339.0,315571,7027949
481.1000061035156,314031,7027935
181.0,313883,7027897
387.6000061035156,313798,7033174
437.6000061035156,313526,7032695
332.1000061035156,312590,7032393
329.3999938964844,314863,7030097
309.0,315958,7032938
454.8999938964844,315786,7033302
342.0,315879,7032632
316.0,312334,7033398
448.5,313374,7034598
388.0,311880,7032254
304.0,314158,7029889
332.3999938964844,313129,7029624
312.0,551054,7097674
441.0,582761,6950957
546.0,550312,7099462
237.0,550780,7098629
285.0,550167,7098016
345.0,551344,7100934
290.0,552089,7099916
362.0,552841,7100559
527.0,552958,7102005
483.0,552014,7101947
393.0,556060,7100607
557.0,555141,7099750
345.0,554306,7099138
481.0,555635,7098609
375.0,554007,7100554
501.0,549617,7099126
445.0,549888,7097587
451.0,649479,6990503
312.0,650929,6991194
343.0,650391,6991262
408.0,703452,6930716
180.0,630845,6783513
199.0,651353,6991106
381.0,650919,6992260
441.0,651070,6991927
453.0,652381,6995260
378.0,651558,6995376
445.0,650976,6995635
446.0,651090,6994361
434.0,648190,6992498
634.0,647411,6993005
